id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,ingested_at
2744301,New Jersey,NJ,34,Middlesex County,23,,,Verizon,105786.0,-74.49652096,40.54425557630532,building,2026-06-11 16:34
9474864,North Carolina,NC,37,Caldwell County,27,Google,,Google Data Center,3407194.0,-81.54651453,35.89473769568106,campus,2026-06-11 16:34
13924557,Iowa,IA,19,Polk County,153,Microsoft,,Project Alluvion,11169421.0,-93.71182965,41.51596683171199,campus,2026-06-11 16:34
14593270,North Carolina,NC,37,Catawba County,35,,,Apple - Maiden Data Center,5431080.0,-81.26180877,35.588771360781784,campus,2026-06-11 16:34
14930068,New Mexico,NM,35,Bernalillo County,1,Sandia National Laboratories,880,HPC,158463.0,-106.542822,35.04994198074902,building,2026-06-11 16:34
14997588,Virginia,VA,51,Henrico County,87,Meta,,Meta Henrico Data Center,4671056.0,-77.23645509,37.482763284885785,campus,2026-06-11 16:34
15884451,New Jersey,NJ,34,Union County,39,Barclays,,Barclays Datacenter,94373.0,-74.28548117,40.64375303338713,building,2026-06-11 16:34
16282459,Maryland,MD,24,Anne Arundel County,3,AiNET,,CyberNAP Glen Burnie,89879.0,-76.60643112,39.14024170717737,building,2026-06-11 16:34
18518989,Alabama,AL,1,Madison County,89,Meta,,Meta Huntsville Data Center,14435561.0,-86.6283168,34.84424467802452,campus,2026-06-11 16:34
19390019,North Dakota,ND,38,Cass County,17,,,Dakota Carrier Network,25931.0,-96.84432644,46.81509687104177,building,2026-06-11 16:34
19787207,Virginia,VA,51,Prince William County,153,Microsoft,1,Microsoft Data Center 1,248706.0,-77.58237919,38.80241113,building,2026-06-11 16:34
19988712,Oregon,OR,41,Crook County,13,Meta,,Meta Prineville Datacenter,17379079.0,-120.8863823,44.29844323079028,campus,2026-06-11 16:34
19993392,Oregon,OR,41,Crook County,13,Apple,,Apple Prineville Datacenter,15637431.0,-120.8658833,44.28455821302781,campus,2026-06-11 16:34
25706343,Texas,TX,48,Tarrant County,439,Cyxtera,,Cyxtera Dallas-Fort Worth Data Center,309104.0,-97.04104164,32.83271789571454,building,2026-06-11 16:34
28544618,Texas,TX,48,Dallas County,113,Equinix,,Equinix Infomart,239835.0,-96.81951055,32.800943222986994,building,2026-06-11 16:34
29827954,Massachusetts,MA,25,Middlesex County,17,,BO1,CoreSite BO1,133960.0,-71.07975762,42.37670588382176,building,2026-06-11 16:34
30666790,California,CA,6,Los Angeles County,37,United States Postal Service,,USPO Terminal Annex,99270.0,-118.2353929,34.05810223824728,building,2026-06-11 16:34
30827429,Texas,TX,48,Dallas County,113,,,DataBank,43564.0,-96.79843729,32.77830147632332,building,2026-06-11 16:34
31250931,Ohio,OH,39,Warren County,165,CyrusOne,CIN3,CyrusOne Cincinnati-Mason CIN3,82813.0,-84.31158,39.30389580661304,building,2026-06-11 16:34
31800424,California,CA,6,San Diego County,73,,,LightEdge SAN1,83576.0,-117.1299339,32.827865524456854,building,2026-06-11 16:34
31803515,California,CA,6,San Diego County,73,EdgeConneX,,EdgeConneX San Diego,39204.0,-117.169345,32.842308661647536,building,2026-06-11 16:34
32560290,California,CA,6,Sacramento County,67,NTT,CA2,RagingWire CA2,204702.0,-121.4919461,38.65039953,building,2026-06-11 16:34
32560292,California,CA,6,Sacramento County,67,NTT,CA1,RagingWire CA1,192302.0,-121.4891865,38.65043183405982,building,2026-06-11 16:34
34770750,Georgia,GA,13,Fulton County,121,,,Hewlett-Packard,1294301.0,-84.26744994,34.08222606,campus,2026-06-11 16:34
35491576,California,CA,6,Santa Clara County,85,Equinix,SV1,Equinix SV1,135022.0,-121.7833201,37.241586803667886,building,2026-06-11 16:34
36897140,Ohio,OH,39,Hamilton County,61,,,,13074.0,-84.41211321,39.29404817733801,building,2026-06-11 16:34
37877544,California,CA,6,Santa Clara County,85,Lumen Technologies,,Lumen Sunnyvale 1,77132.0,-121.987813,37.37343914789955,building,2026-06-11 16:34
37947313,California,CA,6,Santa Clara County,85,,,OpenColo,65471.0,-121.9559373,37.37881629201175,building,2026-06-11 16:34
37947314,California,CA,6,Santa Clara County,85,Equinix,SV2,Equinix Santa Clara SV2,81106.0,-121.9549919,37.378433690080165,building,2026-06-11 16:34
37947315,California,CA,6,Santa Clara County,85,Layer42,,Layer42 Santa Clara,25031.0,-121.9541511,37.378039948434136,building,2026-06-11 16:34
38305431,California,CA,6,Santa Clara County,85,Digital Realty,,Digital Realty Silicon Valley SJC34,129242.0,-121.9736195,37.37238819523252,building,2026-06-11 16:34
38305568,California,CA,6,Santa Clara County,85,Csquare,,Csquare SFO1,92193.0,-121.9696974,37.371519049598696,building,2026-06-11 16:34
38305611,California,CA,6,Santa Clara County,85,Vantage,,,89293.0,-121.9726929,37.37338590954395,building,2026-06-11 16:34
39083541,Georgia,GA,13,Fulton County,121,,,Strategic Datasphere,127487.0,-84.2356967,34.09479739753544,building,2026-06-11 16:34
39083797,Georgia,GA,13,Fulton County,121,Flexential,,Flexential Atlanta - Alpharetta Data Center,74814.0,-84.25175215,34.08700522087238,building,2026-06-11 16:34
39083830,Georgia,GA,13,Fulton County,121,,,Secure Data Center,184012.0,-84.25087563,34.09370761,building,2026-06-11 16:34
40608200,California,CA,6,Santa Clara County,85,Cologix,SV1,Cologix Santa Clara SV1 Data Center,80686.0,-121.9617004,37.36533280955109,building,2026-06-11 16:34
42323063,Missouri,MO,29,St. Louis city,510,,,Netrality Data Centers,23093.0,-90.19717483,38.62926158352849,building,2026-06-11 16:34
45448535,Minnesota,MN,27,Hennepin County,53,,,,51180.0,-93.28029157,44.99145768142225,building,2026-06-11 16:34
45583050,Virginia,VA,51,Prince William County,153,,,,52906.0,-77.51057748,38.80341459582856,building,2026-06-11 16:34
45776978,Virginia,VA,51,Prince William County,153,Amazon Web Services,Amazon IAD11,Amazon IAD11,122474.0,-77.54111112,38.790500006452135,building,2026-06-11 16:34
45776979,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD24,Amazon IAD24,31388.0,-77.54000634,38.79035015175034,building,2026-06-11 16:34
45776988,Virginia,VA,51,Prince William County,153,Amazon Web Services,Amazon IAD-7,Amazon IAD7,109423.0,-77.53827709,38.79120375196744,building,2026-06-11 16:34
46128119,Ohio,OH,39,Hamilton County,61,CyrusOne,CIN2,CyrusOne CIN2,29534.0,-84.51789754,39.102694860367215,building,2026-06-11 16:34
46831933,Virginia,VA,51,Prince William County,153,Digital Realty,,VA 4,263538.0,-77.59487615,38.77811126874212,building,2026-06-11 16:34
48242814,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD10,Amazon IAD10,112726.0,-77.43287558,39.02164555,building,2026-06-11 16:34
48242816,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD32,Amazon IAD32,35700.0,-77.43479445,39.02156932429181,building,2026-06-11 16:34
52059176,Oregon,OR,41,Washington County,67,NTT,,NTT RagingWire Data Center,260339.0,-122.9373929,45.549583992290586,building,2026-06-11 16:34
52094269,Virginia,VA,51,Loudoun County,107,Centersquare,IAD1-B,Centersquare IAD1-B,79070.0,-77.41518976,39.02390730425034,building,2026-06-11 16:34
52094270,Virginia,VA,51,Loudoun County,107,Centersquare,IAD1-A,Centersquare IAD1-A,89830.0,-77.41320102,39.02332121207586,building,2026-06-11 16:34
52094294,Virginia,VA,51,Loudoun County,107,Centersquare,IAD1-C,Centersquare IAD1-C,135383.0,-77.41220366,39.02475554990798,building,2026-06-11 16:34
52227492,Minnesota,MN,27,Carver County,19,Flexential,,Flexential Minneapolis - Chaska,135505.0,-93.59883127,44.85159287119095,building,2026-06-11 16:34
52958203,Colorado,CO,8,Denver County,31,,,Pearl Plaza Office Building,48787.0,-104.9793322,39.74523035286353,building,2026-06-11 16:34
54119665,California,CA,6,Santa Clara County,85,Csquare,SFO2,Csquare SFO2,146098.0,-121.9808694,37.39757919675742,building,2026-06-11 16:34
54119667,California,CA,6,Santa Clara County,85,Csquare,SFO2,Csquare SFO2,115693.0,-121.9811117,37.39861833320087,building,2026-06-11 16:34
54121151,California,CA,6,Santa Clara County,85,Quality Technology Services,,QTS Santa Clara 1,32173.0,-121.9783097,37.39398377756207,building,2026-06-11 16:34
54173383,California,CA,6,Santa Clara County,85,CoreSite,SV3,CoreSite SV3,57809.0,-121.9717094,37.37514209318246,building,2026-06-11 16:34
54173753,California,CA,6,Santa Clara County,85,CoreSite,SV6,CoreSite SV6,61065.0,-121.9720838,37.37630188023717,building,2026-06-11 16:34
54173755,California,CA,6,Santa Clara County,85,CoreSite,SV8,CoreSite SV8,41609.0,-121.9718401,37.37738265750685,building,2026-06-11 16:34
54383196,California,CA,6,Santa Clara County,85,CoreSite,SV5,CoreSite SV5,50856.0,-121.9706898,37.37519609854625,building,2026-06-11 16:34
54383197,California,CA,6,Santa Clara County,85,CoreSite,SV9,CoreSite SV9,60403.0,-121.96961,37.37555851580601,building,2026-06-11 16:34
58708529,California,CA,6,Santa Clara County,85,Quality Technology Services,,QTS Santa Clara 2,36808.0,-121.9783969,37.392721680154914,building,2026-06-11 16:34
59294476,Virginia,VA,51,Loudoun County,107,Stack Infrastructure,NVA01A,STACK NVA01A - Northern Virginia,179330.0,-77.44176407,39.00469915120877,building,2026-06-11 16:34
63619642,Minnesota,MN,27,Hennepin County,53,,,Minnesota Gateway Data Center,87697.0,-93.25465187,44.97130185223087,building,2026-06-11 16:34
69827429,New York,NY,36,Albany County,1,,,IBM Building,15355.0,-73.75274525,42.64935307487593,building,2026-06-11 16:34
71187940,Michigan,MI,26,Wayne County,163,Verizon Wireless,DTRT.PP2,,24933.0,-83.07698606,42.32626638236376,building,2026-06-11 16:34
79056848,New Hampshire,NH,33,Strafford County,17,University of New Hampshire,,,30553.0,-70.95247263,43.14361852296161,building,2026-06-11 16:34
79158387,Virginia,VA,51,Fairfax County,59,Digital Realty,VA3,VA3,96241.0,-77.32729535,38.94846385493133,building,2026-06-11 16:34
79159494,Virginia,VA,51,Fairfax County,59,Evocative,IAD1,IAD1,19325.0,-77.32940997,38.94881628378597,building,2026-06-11 16:34
79298926,Virginia,VA,51,Fairfax County,59,CoreSite,,CoreSite Reston Campus VA1,138035.0,-77.3645476,38.95058588448764,building,2026-06-11 16:34
79818498,Virginia,VA,51,Fairfax County,59,CoreSite,,CoreSite Reston VA3,249707.0,-77.3723698,38.94846756695561,building,2026-06-11 16:34
87058670,New Hampshire,NH,33,Rockingham County,15,FirstLight,,,9316.0,-70.80804278,43.07611925782941,building,2026-06-11 16:34
89784186,Colorado,CO,8,Denver County,31,,,Insurance Exchange Building,19807.0,-104.9956911,39.74557178496544,building,2026-06-11 16:34
93210344,Maryland,MD,24,Montgomery County,31,Lincoln Rackhouse,,Lincoln Rackhouse Maryland,146301.0,-76.96432171,39.05856287562289,building,2026-06-11 16:34
95349317,Ohio,OH,39,Warren County,165,,,CyrusOne Cincinnati-Lebanon,198403.0,-84.22187534,39.389018744445785,building,2026-06-11 16:34
95782052,New Jersey,NJ,34,Hudson County,17,Equinix,NY7,Equinix NY7 Data Center,68650.0,-74.03114084,40.79686366512243,building,2026-06-11 16:34
99813512,California,CA,6,Santa Clara County,85,Equinix,SV4,Equinix SV4,122369.0,-122.0145795,37.41456431406775,building,2026-06-11 16:34
102129663,Texas,TX,48,Bexar County,29,H5 Data Centers,,H5 Data Centers San Antonio,20898.0,-98.48690639,29.429371203549056,building,2026-06-11 16:34
104082694,Iowa,IA,19,Polk County,153,,,Aureon,11253.0,-93.63100935,41.58799896569892,building,2026-06-11 16:34
116005354,North Carolina,NC,37,Catawba County,35,,,,564402.0,-81.26252688,35.588012637841835,building,2026-06-11 16:34
122665255,Connecticut,CT,9,Greater Bridgeport Planning Region,120,Digital Realty,HVN10,Digital Realty New York HVN10,134982.0,-73.14729942,41.24084597137587,building,2026-06-11 16:34
124088810,Illinois,IL,17,DuPage County,43,,,Lincoln Rackhouse,70123.0,-88.21709087,41.77216480463177,building,2026-06-11 16:34
128499684,Illinois,IL,17,Cook County,31,Digital Realty,CH1,Digital Realty CH1,469756.0,-87.96217216,41.99423743,building,2026-06-11 16:34
131874718,Minnesota,MN,27,Ramsey County,123,H5,,H5 Minneapolis,108201.0,-93.14746016,44.97225309779238,building,2026-06-11 16:34
131891022,Arizona,AZ,4,Maricopa County,13,,,Iron Mountain Records Storage,145832.0,-112.0413258,33.42038002636909,building,2026-06-11 16:34
132746406,California,CA,6,Santa Clara County,85,Equinix,SV8,Equinix SV8,12034.0,-122.1607817,37.44589521919974,building,2026-06-11 16:34
138260136,Illinois,IL,17,Champaign County,19,,,NCSA Petascale Computing Facility,45620.0,-88.2420314,40.09525910728646,building,2026-06-11 16:34
138643160,Ohio,OH,39,Clark County,23,,,LexisNexus Springfield,79937.0,-83.72376142,39.912780083635845,building,2026-06-11 16:34
149379943,Illinois,IL,17,Cook County,31,Digital Realty,ORD11,Digital Realty ORD11,9092.0,-87.62995442,41.87429345515449,building,2026-06-11 16:34
151179323,Arizona,AZ,4,Maricopa County,13,Lumen Technologies,,Lumen,25456.0,-112.0707857,33.49433566334995,building,2026-06-11 16:34
152163711,Arizona,AZ,4,Maricopa County,13,,,L3Harris Technologies Inc,14469.0,-111.671704,33.30535847275577,building,2026-06-11 16:34
152163722,Arizona,AZ,4,Maricopa County,13,,,AZ Labs,31625.0,-111.6717003,33.30627197658142,building,2026-06-11 16:34
152449872,Illinois,IL,17,Cook County,31,Serverfarm,CH1,Serverfarm CH1,56419.0,-87.64014139,41.87094383200688,building,2026-06-11 16:34
155739337,Arizona,AZ,4,Maricopa County,13,,,Aligned Energy Data Center,512814.0,-112.1111682,33.65904093265778,building,2026-06-11 16:34
156468497,Virginia,VA,51,Fairfax County,59,,,,19578.0,-77.22583813,38.91370196268696,building,2026-06-11 16:34
156520409,Illinois,IL,17,Cook County,31,,,Lakeside Technology Center,129156.0,-87.61835925,41.85365260504632,building,2026-06-11 16:34
157362579,Arizona,AZ,4,Maricopa County,13,Flexential,,Flexential Phoenix - Deer Valley,110023.0,-112.0983569,33.68467413549308,building,2026-06-11 16:34
161126131,California,CA,6,Santa Clara County,85,Equinix,SV5,Equinix SV5,166314.0,-121.7818393,37.24204046852016,building,2026-06-11 16:34
166431620,Nebraska,NE,31,Douglas County,55,Union Pacific Railroad,,"Union Pacific Jack Koraleski Technology, Research & Development Center",54386.0,-96.0503447,41.31800464175668,building,2026-06-11 16:34
