date,datatype,station,attributes,value
2023-01-01T00:00:00,TMAX,GHCND:USC00440021,",,7,0600",139
2023-01-01T00:00:00,TMIN,GHCND:USC00440021,",Z,7,0600",106
2023-01-01T00:00:00,TMAX,GHCND:USC00440187,",,7,0800",156
2023-01-01T00:00:00,TMIN,GHCND:USC00440187,",,7,0800",83
2023-01-01T00:00:00,TMAX,GHCND:USC00440243,",,7,0700",122
2023-01-01T00:00:00,TMIN,GHCND:USC00440243,",,7,0700",72
2023-01-01T00:00:00,TMAX,GHCND:USC00440327,",,7,1800",183
2023-01-01T00:00:00,TMIN,GHCND:USC00440327,",,7,1800",78
2023-01-01T00:00:00,TMAX,GHCND:USC00440735,",,7,0800",117
2023-01-01T00:00:00,TMIN,GHCND:USC00440735,",,7,0800",56
2023-01-01T00:00:00,TMAX,GHCND:USC00440766,",,7,0700",122
2023-01-01T00:00:00,TMIN,GHCND:USC00440766,",,7,0700",22
2023-01-01T00:00:00,TMAX,GHCND:USC00441082,",,7,0700",122
2023-01-01T00:00:00,TMIN,GHCND:USC00441082,",,7,0700",67
2023-01-01T00:00:00,TMAX,GHCND:USC00441209,",,7,0700",117
2023-01-01T00:00:00,TMIN,GHCND:USC00441209,",,7,0700",44
2023-01-01T00:00:00,TMAX,GHCND:USC00441322,",,7,0800",150
2023-01-01T00:00:00,TMIN,GHCND:USC00441322,",,7,0800",83
2023-01-01T00:00:00,TMAX,GHCND:USC00441593,",,7,0800",144
2023-01-01T00:00:00,TMIN,GHCND:USC00441593,",,7,0800",83
2023-01-01T00:00:00,TMAX,GHCND:USC00441606,",,7,0700",194
2023-01-01T00:00:00,TMIN,GHCND:USC00441606,",,7,0700",-44
2023-01-01T00:00:00,TMAX,GHCND:USC00441614,",,7,0700",128
2023-01-01T00:00:00,TMIN,GHCND:USC00441614,",,7,0700",56
2023-01-01T00:00:00,TMAX,GHCND:USC00441692,",,7,0700",128
2023-01-01T00:00:00,TMIN,GHCND:USC00441692,",,7,0700",67
2023-01-01T00:00:00,TMAX,GHCND:USC00441746,",,7,0700",156
2023-01-01T00:00:00,TMIN,GHCND:USC00441746,",,7,0700",78
2023-01-01T00:00:00,TMAX,GHCND:USC00441825,",,7,0700",117
2023-01-01T00:00:00,TMIN,GHCND:USC00441825,",,7,0700",17
2023-01-01T00:00:00,TMAX,GHCND:USC00441999,",,7,0700",117
